Domain,Unique Articles,Total Occurrences
thehill.com,5423,38594
www.cnn.com,4392,28844
www.foxnews.com,3817,35570
www.politico.com,2871,27749
www.washingtonpost.com,2600,19119
www.washingtonexaminer.com,2493,17428
nypost.com,1796,13359
www.nytimes.com,1712,17697
www.nbcnews.com,1585,8336
www.usatoday.com,1528,8659
www.cnbc.com,1348,7841
www.newsweek.com,1094,6699
www.breitbart.com,1018,8388
www.thedailybeast.com,944,6713
www.vox.com,934,9484
www.youtube.com,912,4308
abcnews.go.com,874,5530
www.cbsnews.com,856,7542
www.nationalreview.com,804,7044
slate.com,762,5171
theweek.com,752,5064
www.msnbc.com,721,5509
www.wsj.com,642,5227
www.bloomberg.com,638,2794
www.yahoo.com,593,2664
www.axios.com,583,3252
www.wmur.com,564,4010
www.businessinsider.com,561,3701
finance.yahoo.com,549,3218
www.theatlantic.com,534,5227
www.latimes.com,475,3827
www.apnews.com,442,2328
dailycaller.com,441,3561
www.aol.com,432,2003
www.desmoinesregister.com,428,4478
www.bostonglobe.com,428,3392
www.washingtontimes.com,415,2702
www.realclearpolitics.com,413,4354
www.nydailynews.com,411,3554
www.commondreams.org,405,2200
www.salon.com,401,2982
www.foxbusiness.com,384,2554
splinternews.com,376,1796
www.reuters.com,374,1690
www.huffpost.com,368,1776
www.marketwatch.com,322,1669
news.yahoo.com,318,2560
www.motherjones.com,307,1855
www.npr.org,286,2856
www.bostonherald.com,272,2138
www.rollingstone.com,270,2678
www.dallasnews.com,269,2491
freebeacon.com,267,3124
www.mediaite.com,261,2255
www.seattletimes.com,259,2349
deadline.com,257,1387
www.buzzfeednews.com,255,3173
www.vanityfair.com,255,1648
www.theroot.com,249,2135
www.forbes.com,248,1889
www.nj.com,245,2265
nymag.com,242,1576
fivethirtyeight.com,241,5187
reason.com,240,2223
www.huffingtonpost.com,240,874
www.newyorker.com,209,2256
www.sfchronicle.com,197,1787
www.sfgate.com,196,1035
www.newsmax.com,192,1570
www.boston.com,183,1468
mynorthwest.com,182,1636
townhall.com,182,1296
www.rollcall.com,179,1259
www.bbc.com,179,488
www.usnews.com,176,889
people.com,171,523
www.theguardian.com,167,1146
talkingpointsmemo.com,165,665
theslot.jezebel.com,162,1552
www.wbur.org,161,1358
www.politifact.com,159,1766
time.com,158,1167
komonews.com,158,985
www.startribune.com,154,1801
www.detroitnews.com,154,906
www.denverpost.com,151,2960
www.pbs.org,151,1331
www.esquire.com,148,945
apnews.com,144,1020
www.chicagotribune.com,138,923
www.texastribune.org,136,1802
www.cnsnews.com,134,1176
www.jpost.com,134,924
www.hollywoodreporter.com,129,757
www.snopes.com,123,669
www.thenation.com,122,785
www.mercurynews.com,121,728
www.staradvertiser.com,120,1285
www.vice.com,119,1138
www.southbendtribune.com,117,655
www.haaretz.com,115,600
www.masslive.com,114,711
whotv.com,113,954
www.sacbee.com,112,654
www.msn.com,111,562
www.postandcourier.com,107,816
www.thegazette.com,107,789
www.tmz.com,106,790
www.thestate.com,106,615
theintercept.com,105,1140
www.indystar.com,104,659
www.reviewjournal.com,104,518
www.upi.com,103,754
www.newser.com,101,611
thefederalist.com,100,1303
newrepublic.com,100,732
nbcmontana.com,100,710
newyork.cbslocal.com,98,906
www.cleveland.com,96,866
www.inquirer.com,95,1019
www.miamiherald.com,93,472
news3lv.com,92,580
www.coloradopolitics.com,91,995
www.newsday.com,90,441
patch.com,88,546
wsbt.com,87,324
pagesix.com,85,910
helenair.com,85,669
www.houstonchronicle.com,84,776
www.ny1.com,84,563
minnesota.cbslocal.com,83,721
www.thestranger.com,79,658
denver.cbslocal.com,79,583
www.statesman.com,79,451
www.greatfallstribune.com,78,637
www.cpr.org,77,1040
hotair.com,77,811
news.vice.com,77,402
www.vindy.com,76,209
politics.theonion.com,75,2007
forward.com,74,491
kdvr.com,71,932
fortune.com,71,605
www.inquisitr.com,70,578
thinkprogress.org,70,572
www.king5.com,70,480
q13fox.com,69,604
www.kcci.com,69,585
www.thecut.com,69,369
www.unionleader.com,68,338
vtdigger.org,68,264
nationalinterest.org,66,498
www.jacobinmag.com,66,394
heavy.com,66,309
www.post-gazette.com,66,303
www.thewrap.com,65,332
www.freep.com,64,461
www.spokesman.com,63,657
www.refinery29.com,62,354
abcnews4.com,62,343
www.oregonlive.com,62,292
www.kxan.com,62,243
www.wndu.com,62,242
www.civilbeat.org,61,619
chicago.suntimes.com,61,551
washingtonmonthly.com,61,366
www.marijuanamoment.net,60,638
www.ajc.com,60,367
www.jta.org,60,322
www.mlive.com,59,486
www.seattlepi.com,58,551
qz.com,58,315
www.salemnews.com,57,440
ktla.com,57,220
www.essence.com,56,500
www.theverge.com,55,494
www.governor.wa.gov,55,281
www.timesofisrael.com,55,258
www.wcax.com,55,248
www.theblaze.com,54,400
www.sltrib.com,54,226
www.baltimoresun.com,53,405
www.truthdig.com,53,244
www.hawaiinewsnow.com,52,456
www.mtpr.org,51,246
www.wcvb.com,51,236
www.mprnews.org,50,392
www.philly.com,50,157
gothamist.com,49,627
www.wfmj.com,49,396
insider.foxnews.com,49,242
edition.cnn.com,49,115
www.nhpr.org,48,471
www.press-citizen.com,48,337
billingsgazette.com,47,359
www.azcentral.com,47,356
www.twincities.com,46,351
www.advocate.com,45,423
www.chron.com,45,305
gizmodo.com,45,184
www.thedenverchannel.com,44,432
www.theringer.com,44,279
qctimes.com,44,279
www.wthr.com,44,225
variety.com,43,183
abc7news.com,43,121
www.expressnews.com,42,522
www.timesunion.com,42,392
www.concordmonitor.com,42,385
cbs2iowa.com,42,309
www.al.com,42,246
truthout.org,42,241
www.wkbn.com,41,431
www.insidernj.com,41,273
abc7.com,41,167
www.thenewstribune.com,40,410
www.cityandstateny.com,40,346
www.democracynow.org,40,332
www.mcclatchydc.com,40,284
www.elle.com,40,263
www.c-span.org,40,188
www.aljazeera.com,40,133
wtop.com,40,76
wcfcourier.com,39,214
news.avclub.com,39,205
www.sun-sentinel.com,39,204
www.nbcdfw.com,39,130
www.9news.com,38,280
www.amny.com,38,244
boston.cbslocal.com,38,224
coloradosun.com,37,493
gazette.com,37,259
markets.businessinsider.com,37,222
www.gq.com,37,192
kfoxtv.com,37,130
www.minnpost.com,36,645
www.fastcompany.com,36,414
www.rawstory.com,36,288
www.scmp.com,36,217
www.mediamatters.org,36,209
prospect.org,36,206
www.kcrg.com,36,185
www.nbcboston.com,36,130
www.wgbh.org,35,331
www.kiro7.com,35,324
www.dispatch.com,35,250
missoulian.com,35,230
abc7ny.com,35,217
floridapolitics.com,34,258
grist.org,33,460
www.ccn.com,33,385
www.theamericanconservative.com,33,334
www.sentinelsource.com,33,238
www.rgj.com,33,211
www.wral.com,33,140
www.necn.com,33,85
www.crainsnewyork.com,32,347
www.tampabay.com,32,186
wjla.com,32,183
www.star-telegram.com,32,180
mashable.com,32,158
www.courant.com,32,155
www.rt.com,31,327
thegrio.com,31,266
earther.gizmodo.com,31,263
katu.com,31,147
deadspin.com,31,130
boingboing.net,31,121
www.deseret.com,30,294
www.khq.com,30,236
www.fosters.com,30,123
abc13.com,30,78
www.mysanantonio.com,29,236
newjerseyglobe.com,29,215
news4sanantonio.com,29,210
www.factcheck.org,29,197
www.nbcnewyork.com,29,155
abc3340.com,29,140
www.10tv.com,29,114
www.dailywire.com,29,106
www.toledoblade.com,28,227
www.dailydot.com,28,217
www.billboard.com,28,139
www.independent.co.uk,28,125
bringmethenews.com,27,302
crooked.com,27,264
www.silive.com,27,222
www.barrons.com,27,189
www.northjersey.com,27,181
www.cincinnati.com,27,154
cbsaustin.com,27,128
www.delawareonline.com,27,105
www.ksat.com,26,298
kstp.com,26,189
www.commentarymagazine.com,26,175
www.duluthnewstribune.com,26,157
www.elpasotimes.com,26,118
www.pressherald.com,26,116
www.newsobserver.com,26,99
www.geekwire.com,25,179
www.gloucestertimes.com,25,139
www.bet.com,25,126
www.charlotteobserver.com,25,101
khqa.com,25,79
siouxlandnews.com,25,69
www.westword.com,24,467
www.jsonline.com,24,273
www.eagletribune.com,24,229
www.out.com,24,221
jacobinmag.com,24,221
thenevadaindependent.com,24,190
siouxcityjournal.com,24,157
www.pastemagazine.com,24,150
www.nbclosangeles.com,24,99
www.complex.com,24,92
www.ctpost.com,24,73
spectator.us,23,268
1010wins.radio.com,23,219
www.cfr.org,23,206
triblive.com,23,199
www.frontpagemag.com,23,193
www.greenvilleonline.com,23,179
www.aspentimes.com,23,161
www.wowt.com,23,158
www.cnet.com,23,156
www.seacoastonline.com,23,130
www.teenvogue.com,23,124
www.deseretnews.com,23,117
sanfrancisco.cbslocal.com,23,81
www.bizjournals.com,23,73
6abc.com,23,46
www.texasmonthly.com,22,348
religionnews.com,22,250
www.live5news.com,22,215
crosscut.com,22,195
www.economist.com,22,163
nj1015.com,22,137
sputniknews.com,22,109
www.lamag.com,22,93
www.clickondetroit.com,22,51
abc7chicago.com,22,40
www.courier-journal.com,21,251
www.kxly.com,21,236
www.alternet.org,21,151
abovethelaw.com,21,119
pix11.com,21,92
inthesetimes.com,21,81
www.phillyvoice.com,21,78
www.burlingtonfreepress.com,21,54
wlos.com,21,54
www.columbian.com,20,175
remezcla.com,20,115
www.ktvu.com,20,106
www.syracuse.com,20,93
www.ocregister.com,20,53
www.pennlive.com,20,46
www.townandcountrymag.com,19,473
nyc.streetsblog.org,19,428
www.wyff4.com,19,230
