Rank,Source,NumUniqueArticles
57,www.buzzfeednews.com,255
58,www.vanityfair.com,255
59,www.theroot.com,249
60,www.forbes.com,248
61,www.nj.com,245
62,nymag.com,242
63,fivethirtyeight.com,241
64,reason.com,240
65,www.huffingtonpost.com,240
66,www.newyorker.com,209
67,www.sfchronicle.com,197
68,www.sfgate.com,196
69,www.newsmax.com,192
70,www.boston.com,183
71,mynorthwest.com,182
72,townhall.com,182
73,www.rollcall.com,179
74,www.bbc.com,179
75,www.usnews.com,176
76,people.com,171
77,www.theguardian.com,167
78,talkingpointsmemo.com,165
79,theslot.jezebel.com,162
80,www.wbur.org,161
81,www.politifact.com,159
82,time.com,158
83,komonews.com,158
84,www.startribune.com,154
85,www.detroitnews.com,154
86,www.denverpost.com,151
87,www.pbs.org,151
88,www.esquire.com,148
89,apnews.com,144
90,www.chicagotribune.com,138
91,www.texastribune.org,136
92,www.cnsnews.com,134
93,www.jpost.com,134
94,www.hollywoodreporter.com,129
95,www.snopes.com,123
96,www.thenation.com,122
97,www.mercurynews.com,121
98,www.staradvertiser.com,120
99,www.vice.com,119
100,www.southbendtribune.com,117
101,www.haaretz.com,115
102,www.masslive.com,114
103,whotv.com,113
104,www.sacbee.com,112
105,www.msn.com,111
106,www.postandcourier.com,107
107,www.thegazette.com,107
108,www.tmz.com,106
109,www.thestate.com,106
110,theintercept.com,105
111,www.indystar.com,104
112,www.reviewjournal.com,104
113,www.upi.com,103
114,www.newser.com,101
115,thefederalist.com,100
116,newrepublic.com,100
117,nbcmontana.com,100
118,newyork.cbslocal.com,98
119,www.cleveland.com,96
120,www.inquirer.com,95
121,www.miamiherald.com,93
122,news3lv.com,92
123,www.coloradopolitics.com,91
124,www.newsday.com,90
125,patch.com,88
126,wsbt.com,87
127,pagesix.com,85
128,helenair.com,85
129,www.houstonchronicle.com,84
130,www.ny1.com,84
131,minnesota.cbslocal.com,83
132,twitter.com,80
133,www.thestranger.com,79
134,denver.cbslocal.com,79
135,www.statesman.com,79
136,www.greatfallstribune.com,78
137,www.cpr.org,77
138,hotair.com,77
139,news.vice.com,77
140,www.vindy.com,76
141,politics.theonion.com,75
142,forward.com,74
143,kdvr.com,71
144,fortune.com,71
145,www.inquisitr.com,70
146,thinkprogress.org,70
147,www.king5.com,70
148,q13fox.com,69
149,www.kcci.com,69
150,www.thecut.com,69
151,www.unionleader.com,68
152,vtdigger.org,68
153,nationalinterest.org,66
154,www.jacobinmag.com,66
155,heavy.com,66
156,www.post-gazette.com,66
157,www.thewrap.com,65
158,www.freep.com,64
159,www.spokesman.com,63
160,www.refinery29.com,62
161,abcnews4.com,62
162,www.oregonlive.com,62
163,www.kxan.com,62
164,www.wndu.com,62
165,www.civilbeat.org,61
166,chicago.suntimes.com,61
167,washingtonmonthly.com,61
168,www.marijuanamoment.net,60
169,www.ajc.com,60
170,www.jta.org,60
171,www.mlive.com,59
172,www.seattlepi.com,58
173,qz.com,58
174,www.salemnews.com,57
175,ktla.com,57
176,www.essence.com,56
177,www.theverge.com,55
178,www.governor.wa.gov,55
179,www.timesofisrael.com,55
180,www.wcax.com,55
181,www.theblaze.com,54
182,www.sltrib.com,54
183,www.baltimoresun.com,53
184,www.truthdig.com,53
185,www.hawaiinewsnow.com,52
186,www.mtpr.org,51
187,www.wcvb.com,51
188,www.mprnews.org,50
189,www.philly.com,50
190,gothamist.com,49
191,www.wfmj.com,49
192,insider.foxnews.com,49
193,edition.cnn.com,49
194,www.nhpr.org,48
195,www.press-citizen.com,48
196,billingsgazette.com,47
197,www.azcentral.com,47
